Original Name,Name,Code,Top Notes,Heart Notes,Base Notes,Full Notes,Short Notes,Memory,Description,Occasion
Vanilla Luxe,Vanilla / 01,VAN/01,"mandarin, citrus","soft florals","vanilla, amber, woods","mandarin, citrus, soft florals, vanilla, amber, woods","vanilla · amber · citrus","warm skin","A smooth vanilla built around warmth and softness. Opens slightly fresh, settles into a creamy skin-like sweetness that stays close and addictive.","daily wear, date night"
Oud Royal,Oud / 09,OUD/09,"saffron, spice","oud, incense","leather, resin","saffron, spice, oud, incense, leather, resin","oud · saffron · leather","dark room","A dense oud profile with smoky depth and controlled projection. Rich without being loud, built for presence.","evening, formal"
Oriental Spice,Spice / 03,SPC/03,"cardamom","cinnamon","sandalwood, amber","cardamom, cinnamon, sandalwood, amber","cardamom · cinnamon · wood","warm air","A warm spiced composition that feels textured and intimate. Designed to sit close and evolve slowly.","evening, winter"
Musk Sauvage,Skin Musk / 04,MSK/04,"bergamot","lavender","musk, vetiver","bergamot, lavender, musk, vetiver","bergamot · lavender · musk","fresh shirt","Clean, sharp, and wearable. A skin musk that feels fresh without being basic.","daily wear"
Floral Fresh,Bloom Air / 02,FLR/02,"pear","rose, peony","white musk","pear, rose, peony, white musk","pear · rose · musk","morning light","Light floral with airy projection. Fresh, soft, and easy to wear across seasons.","daily wear"

Gucci Bloom,White Bloom / 07,FLR/07,"green notes","tuberose, jasmine","floral base","tuberose, jasmine, green floral accords","tuberose · jasmine · green","floral room","A dense white floral that feels natural and full. Rich bloom without sharp edges.","day, signature"
YSL Mon Paris,Sweet Paris / 11,FRU/11,"strawberry, raspberry","peony, jasmine","patchouli, musk","strawberry, raspberry, peony, jasmine, patchouli, musk","berry · patchouli","city night","Sweet, modern fruity floral with depth from patchouli. Energetic and slightly addictive.","night out"
CR7,Sport Fresh / 05,FRSH/05,"citrus","lavender, spice","tonka, woods","citrus, lavender, spice, tonka, woods","citrus · lavender · tonka","clean energy","Fresh sporty scent with clean projection and easy mass appeal.","gym, daily"
LV Ombre Nomade,Dark Amber / 12,AMB/12,"smoke","rose","oud, amber","smoke, rose, oud, amber","oud · rose · amber","desert dusk","Dark, smoky, and deep. Built for strong presence and long-lasting trail.","evening, winter"
Cedar & Oakmoss,Moss Wood / 02,WDS/02,"green","cedar","oakmoss, vetiver","cedar, oakmoss, vetiver","cedar · moss · vetiver","forest floor","Earthy woody profile with grounded feel. Calm and natural.","day, office"

Oud for Greatness,Oud Intense / 15,OUD/15,"saffron","oud","nutmeg, patchouli","oud, saffron, nutmeg, patchouli","oud · saffron · spice","silent power","Strong oud composition with spicy lift and smooth base.","luxury, evening"
Burberry Her,Red Fruit / 06,FRU/06,"berries","jasmine","vanilla, musk","berries, jasmine, vanilla, musk","berry · vanilla","sweet trail","Bright fruity gourmand with soft sweetness and modern feel.","daily, casual"
Burberry Weekend,Citrus Soft / 03,CIT/03,"lemon, orange","floral","musk","lemon, orange, florals, musk","lemon · orange · floral","slow day","Relaxed citrus scent with soft projection and calm vibe.","daytime"

Amber Elixir,Amber Resin / 08,AMB/08,"resin","amber","vanilla","amber, resin, vanilla","amber · resin · vanilla","warm glow","Deep amber scent with smooth sweetness and warmth.","evening"
White Musk,Pure Musk / 10,MSK/10,"aldehydes","floral","white musk","white musk, aldehydes, soft florals","musk · floral","clean skin","Minimal clean scent that stays close and fresh.","daily"
Spiced Oud,Oud Spice / 13,OUD/13,"pepper","clove","oud","pepper, clove, oud","oud · clove · pepper","warm smoke","Spicy oud with sharp opening and warm drydown.","evening"
Green Vetiver,Vetiver Green / 14,GRN/14,"citrus","vetiver","herbs","citrus, vetiver, herbs","vetiver · citrus · herbs","fresh cut","Green, sharp and clean. Fresh earthy profile.","office"
Aqua Marine,Water Air / 16,AQUA/16,"marine","citrus","musk","marine, citrus, salt, musk","marine · citrus · salt","sea breeze","Aquatic fresh scent with open airy feel.","summer"

Leather Intense,Leather Skin / 17,LTHR/17,"smoke","leather","amber","leather, smoke, amber","leather · smoke · amber","worn jacket","Strong leather profile with depth and texture.","evening"
Smoky Woods,Smoke Wood / 18,SMK/18,"burnt wood","incense","resin","burnt wood, incense, resin","burnt wood · incense","fading fire","Dry smoky scent with dark woody base.","night"
Vanilla Rush,Vanilla Sweet / 19,VAN/19,"caramel","vanilla","tonka","vanilla, caramel, tonka","vanilla · caramel · tonka","sweet comfort","Rich sweet gourmand, comforting and addictive.","casual"
Rose Desire,Rose Skin / 20,RSE/20,"rose","pepper","musk","rose, pepper, musk","rose · pepper · musk","soft petals","Soft rose with subtle spice and skin-like finish.","date night"
