Name,Code,Top Notes,Heart Notes,Base Notes,Full Notes,Short Notes,Memory,Description,Occasion,Price 50mL,Sample 30 mL,URL
Wild Blue / 01,FRSH/01,"calabrian bergamot, pepper","sichuan pepper, lavender, geranium","ambroxan, cedar, labdanum","calabrian bergamot, pepper, sichuan pepper, lavender, geranium, ambroxan, cedar, labdanum",bergamot · pepper · cedar,open desert,"A sharp fresh-spicy fragrance defined by bergamot and pepper, grounded in the warmth of ambroxan. Bold, modern, and magnetic.","daily wear, date night, all-season",799,,
Declaration / 02,SPC/02,"bergamot, neroli, bitter orange","cardamom, iris, ginger, cinnamon","vetiver, tea, cedar, leather, amber","bergamot, neroli, bitter orange, cardamom, iris, ginger, cinnamon, vetiver, tea, cedar, leather, amber",vetiver · iris · spice,ink and wood,"A sophisticated spicy-woody with a distinctive iris and vetiver drydown. Complex, refined and unmistakably classic.","work, formal, evening",799,,
Eternity Men / 03,FRSH/03,"lavender, lemon, bergamot","geranium, sage, basil","sandalwood, amber, musk","lavender, lemon, bergamot, geranium, sage, basil, sandalwood, amber, musk",lavender · herbs · musk,clean morning,A timeless aromatic fougere with a clean herbal heart and warm woody base. Universally pleasing and easy to wear.,"daily wear, work, all-season",799,,
Bleu Noir / 04,WDS/04,"grapefruit, lemon, mint, bergamot, pink pepper","ginger, nutmeg, jasmine","incense, amber, cedar, sandalwood, patchouli, labdanum","grapefruit, lemon, mint, bergamot, pink pepper, ginger, nutmeg, jasmine, incense, amber, cedar, sandalwood, patchouli, labdanum",citrus · ginger · incense,tailored suit,"A refined woody-aromatic that balances crisp citrus with deep incense and amber woods. Sophisticated, versatile and eternally elegant.","work, formal, date night, all-season",799,,
Bloom Rouge / 05,FLR/05,rangoon creeper,"tuberose, jasmine sambac, nandia flower","musk, sandalwood","rangoon creeper, tuberose, jasmine sambac, nandia flower, musk, sandalwood",tuberose · jasmine · musk,garden at dusk,"A bold lush white floral built on tuberose and jasmine sambac. Rich, feminine and unapologetically full.","date night, evening, spring/summer",799,,
Voyage / 06,AQUA/06,"green leaves, apple","lotus, mimosa","musk, cedar, oakmoss, amber","green leaves, apple, lotus, mimosa, musk, cedar, oakmoss, amber",apple · lotus · cedar,open water,"A clean aquatic with a crisp apple-green opening and warm cedar-musk drydown. Fresh, affordable and crowd-pleasing.","daily wear, casual, spring/summer",799,,
Circe / 07,FRU/07,"passionfruit, peach, pear, raspberry, cassis",lily-of-the-valley,"musk, sandalwood, vanilla, heliotrope","passionfruit, peach, pear, raspberry, cassis, lily-of-the-valley, musk, sandalwood, vanilla, heliotrope",fruit · musk · vanilla,beach bar cocktail,A vibrant fruity-musk extrait bursting with tropical fruit and anchored in soft vanilla-sandalwood. A statement unisex with serious longevity.,"date night, evening, spring/summer",799,,
Viva Juicy / 08,FRU/08,"wild berries, mandarin","honeysuckle, gardenia, jasmine","vanilla, caramel, sandalwood, musk","wild berries, mandarin, honeysuckle, gardenia, jasmine, vanilla, caramel, sandalwood, musk",berry · musk · caramel,candy blooms,"Sweet gourmand-floral with juicy berry top and vanilla-caramel drydown. Fun, youthful and highly wearable.","casual, daily wear, spring/summer",799,,
Her Bloom / 09,FRU/09,"strawberry, blueberry, raspberry","jasmine, violet","amber, musk","strawberry, blueberry, raspberry, jasmine, violet, amber, musk",berry · violet · amber,city autumn,"A vibrant berry-floral with a warm musky amber finish. Youthful, addictive and a constant compliment-getter.","daily wear, casual, date night",799,,
Royal Hayati / 10,SPC/10,"pink pepper, bergamot, ginger, nutmeg","cedar, incense, labdanum","musk, ambergris, amber","pink pepper, bergamot, ginger, nutmeg, cedar, incense, labdanum, musk, ambergris, amber",cedar · incense · amber,royal smoke,"A bold oriental-spicy with pepper and bergamot over deep incense and warm amber. Rich, unisex and exceptional value.","evening, casual, date night",799,,
CR Seven / 11,FRSH/11,"lavender, cardamom, bergamot","tobacco, cinnamon, cedar, iris","vanilla, musk","lavender, cardamom, bergamot, tobacco, cinnamon, cedar, iris, vanilla, musk",iris · tobacco · vanilla,confident evening,"An aromatic fougere with a lavender-tobacco heart and smooth vanilla base. Warm, powdery and punches above its price.","date night, evening, casual",799,,
Bombshell / 12,FRU/12,"passionfruit, grapefruit, strawberry, tangerine","peony, vanilla orchid, jasmine","musk, woody notes","passionfruit, grapefruit, strawberry, tangerine, peony, vanilla orchid, jasmine, musk, woody notes",fruit · peony · musk,summer glow,"A bright fruity-floral with a tropical burst that dries into soft floral musk. Vibrant, feminine and instantly recognizable.","casual, daily wear, spring/summer",799,,
Belle Paris / 13,FRU/13,"strawberry, raspberry, pear, bergamot","datura, peony, jasmine sambac","white musk, ambroxan, patchouli","strawberry, raspberry, pear, bergamot, datura, peony, jasmine sambac, white musk, ambroxan, patchouli",berry · peony · musk,city night,A modern chypre-fruity floral with a dazzling berry opening and a provocative patchouli base. Seductive and Parisian.,"date night, evening, casual",799,,
Ocean Drift / 14,AQUA/14,"mint, lavender, coriander","geranium, neroli, jasmine","amber, musk, cedar, sandalwood","mint, lavender, coriander, geranium, neroli, jasmine, amber, musk, cedar, sandalwood",mint · aquatic · woods,cold wave,A pioneering aquatic defined by cool mint and aromatic herbs over a warm woody-musk base. Crisp and enduringly versatile.,"daily wear, casual, work",799,,
Oud Noir / 15,OUD/15,"saffron, bergamot","rose, oud","sandalwood, musk, amber","saffron, bergamot, rose, oud, sandalwood, musk, amber",oud · saffron · amber,dusk smoke,"A rich African-inspired oud with saffron and rose over warm amber and sandalwood. Deep, smoky and mesmerizing.","evening, occasions, fall/winter",799,,
Havana / 16,SMK/16,"bergamot, rum","tobacco, leather, cedarwood","vanilla, amber, oakmoss","bergamot, rum, tobacco, leather, cedarwood, vanilla, amber, oakmoss",tobacco · leather · rum,private lounge,"A bold fragrance evoking rum, tobacco and aged leather with a warm vanilla-amber drydown. Confident, sensuous and unmistakable.","evening, date night, fall/winter",799,,
Sanaya / 17,FLR/17,"bergamot, citrus","rose, jasmine, oud","musk, amber, sandalwood","bergamot, citrus, rose, jasmine, oud, musk, amber, sandalwood",rose · oud · amber,warm intimacy,"A Middle Eastern floral-woody balancing jasmine and rose with rich oud and warm amber musk. Intimate, warm and long-lasting.","evening, date night, casual",799,,
Weekend Men / 18,CIT/18,"lemon, grapefruit, bergamot, pineapple, melon","ivy, oakmoss, sandalwood","honey, musk, amber","lemon, grapefruit, bergamot, pineapple, melon, ivy, oakmoss, sandalwood, honey, musk, amber",citrus · green · musk,slow saturday,"A citrus-driven casual with a fresh fruity opening and warm honey-musk drydown. Easy, relaxed and supremely wearable.","casual, daily wear, spring/summer",799,,
Icon Absolute / 19,OUD/19,"black pepper, bergamot","saffron, black rose, jasmine","oud, leather, tobacco","black pepper, bergamot, saffron, black rose, jasmine, oud, leather, tobacco",pepper · oud · leather,dark power,"A dark oriental woody with saffron and black rose over deep oud and leather. Bold, masculine and unforgettable.","evening, formal, date night",799,,
Dao Wood / 20,WDS/20,"cypress, spices","myrtle, rosewood, sandalwood","sandalwood, white musk, cedar","cypress, spices, myrtle, rosewood, sandalwood, white musk, cedar",sandal · cedar · spice,ancient forest,"A serene woody fragrance centered on precious sandalwood and cedar. Calm, natural and beautifully understated.","casual, daily wear, work",799,,
Icon / 21,WDS/21,"grapefruit, bergamot, juniper","rose, guaiac wood","vetiver, musk, sandalwood, cedar","grapefruit, bergamot, juniper, rose, guaiac wood, vetiver, musk, sandalwood, cedar",citrus · wood · vetiver,first impression,"A fresh woody aromatic with crisp citrus opening and a sophisticated rose-wood heart. Clean, modern and quietly impressive.","work, casual, date night",799,,
Mizan / 22,OUD/22,"saffron, spices","rose, jasmine, oud","musk, ambergris, sandalwood","saffron, spices, rose, jasmine, oud, musk, ambergris, sandalwood",saffron · oud · musk,amber tradition,"An authentic oriental attar with creamy saffron and sandalwood accord. Traditional, deeply complex and exceptional value.","evening, date night, occasions",799,,
Night Lounge / 23,JZC/23,"pink pepper, neroli, lemon","rum, vetiver, clary sage","tobacco leaf, vanilla, styrax","pink pepper, neroli, lemon, rum, vetiver, clary sage, tobacco leaf, vanilla, styrax",rum · tobacco · vanilla,dim jazz bar,A warm-spicy fragrance inspired by a Brooklyn jazz club. Rum and tobacco over soft vanilla — intimate and effortlessly cool.,"evening, date night, fall/winter",799,,
Blue Sea / 24,AQUA/24,"lime, lemon, bergamot, neroli, mandarin","sea notes, jasmine, rosemary, calone","white musk, cedar, patchouli, amber","lime, lemon, bergamot, neroli, mandarin, sea notes, jasmine, rosemary, calone, white musk, cedar, patchouli, amber",citrus · marine · musk,mediterranean sea,The iconic aquatic that started a revolution. Bright citrus and sea spray dry into a warm woody musk. Universally loved and effortlessly wearable.,"daily wear, casual, spring/summer",799,,
